"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",4,"Small",1,872,578
"HP",2,"Medium",2,1112,629
"MSI",4,"Medium",4,1082,421
"HP",0,"Medium",2,1485,760
"MSI",4,"Medium",2,986,646
"HP",2,"Medium",1,1146,804
"MSI",6,"Large",5,768,380
"MSI",5,"Medium",1,1121,763
"MSI",1,"Medium",0,967,832
"HP",2,"Large",2,854,591
"MSI",1,"Large",6,1213,328
"Apple",0,"Medium",2,1180,745
"HP",2,"Medium",1,1083,783
"HP",3,"Medium",4,811,345
"MSI",0,"Medium",2,1170,610
"HP",2,"Small",1,1035,630
"HP",2,"Large",2,978,643
"MSI",1,"Medium",4,686,382
"MSI",3,"Small",3,970,371
"MSI",4,"Medium",1,812,711
"MSI",0,"Large",4,525,361
"HP",0,"Medium",2,1285,681
"MSI",0,"Small",1,978,582
"HP",3,"Large",0,1177,890
"MSI",3,"Large",2,1132,783
"MSI",0,"Large",2,1291,778
"MSI",3,"Medium",2,804,625
"MSI",1,"Large",1,652,676
"HP",0,"Medium",4,1170,477
"HP",1,"Medium",2,990,611
"HP",4,"Large",4,763,387
"MSI",1,"Medium",3,1087,572
"HP",2,"Large",2,1021,649
"MSI",2,"Medium",1,844,745
"HP",4,"Medium",4,1356,509
"MSI",0,"Large",0,1137,903
"MSI",2,"Medium",3,1256,620
"MSI",5,"Medium",1,1077,782
"HP",0,"Medium",3,986,504
"HP",2,"Medium",2,1268,711
"MSI",1,"Small",4,958,379
"HP",3,"Medium",1,911,724
"Apple",4,"Small",2,846,586
"HP",3,"Medium",2,1122,635
"MSI",2,"Small",4,1225,417
"HP",1,"Large",2,992,695
"HP",3,"Large",2,901,639
"Apple",1,"Medium",4,803,515
"MSI",6,"Large",4,1678,678
"Apple",0,"Medium",2,1065,723
"HP",2,"Large",0,781,746
"HP",1,"Small",1,1296,737
"Apple",2,"Large",2,937,730
"MSI",4,"Medium",3,808,487
"MSI",2,"Medium",2,1050,676
"MSI",6,"Medium",3,916,518
"MSI",1,"Medium",2,971,689
"HP",2,"Medium",3,1110,521
"MSI",2,"Large",6,829,297
"HP",2,"Small",1,985,622
"MSI",0,"Medium",3,1296,618
"MSI",2,"Medium",1,1275,808
"Apple",1,"Medium",3,720,498
"HP",2,"Medium",1,1189,756
"MSI",1,"Medium",4,861,397
"HP",1,"Large",3,1204,620
"HP",1,"Medium",3,936,461
"MSI",2,"Large",1,1184,840
"Apple",3,"Large",2,887,738
"MSI",2,"Medium",4,942,378
"HP",0,"Medium",1,874,668
"HP",1,"Medium",1,870,687
"HP",2,"Medium",0,1413,872
"HP",3,"Medium",2,944,598
"MSI",0,"Medium",3,1089,575
"Apple",4,"Large",3,761,632
"Apple",0,"Large",3,1110,672
"HP",0,"Medium",2,702,481
"MSI",2,"Medium",1,1107,822
"HP",0,"Large",2,846,610
"HP",3,"Large",1,1146,776
"MSI",1,"Large",2,1088,720
"HP",3,"Medium",2,904,552
"HP",0,"Large",2,895,608
"HP",4,"Small",1,906,610
"HP",0,"Medium",3,1121,545
"MSI",2,"Medium",4,914,474
"HP",1,"Medium",2,900,611
"Apple",3,"Medium",3,655,530
"HP",6,"Large",2,1084,670
"MSI",0,"Medium",1,987,763
"HP",0,"Large",1,1269,839
"HP",1,"Large",2,1261,693
"HP",2,"Large",3,969,554
"MSI",3,"Medium",1,1259,834
"HP",1,"Small",4,1019,349
"Apple",0,"Medium",3,912,539
"HP",4,"Large",1,877,743
"HP",3,"Large",1,938,756
"MSI",1,"Medium",4,1031,512
"Apple",2,"Medium",2,1559,861
"Apple",1,"Large",3,1637,840
"HP",0,"Large",0,1034,852
"HP",2,"Large",1,1084,834
"MSI",2,"Medium",0,1228,876
"MSI",4,"Large",0,934,856
"MSI",1,"Large",1,966,822
"HP",2,"Medium",2,1153,633
"MSI",0,"Medium",2,967,626
"HP",0,"Medium",0,737,719
"MSI",4,"Large",2,1177,731
"HP",0,"Medium",2,1057,614
"MSI",0,"Large",2,1203,727
"MSI",4,"Large",3,756,550
"MSI",1,"Medium",1,1457,865
"MSI",0,"Medium",4,795,384
"MSI",1,"Medium",3,640,408
"MSI",0,"Medium",2,1071,709
"MSI",0,"Large",1,596,665
"Apple",2,"Small",2,900,532
"Apple",3,"Large",4,1281,674
"Apple",2,"Medium",1,1124,857
"HP",2,"Medium",2,662,527
"MSI",1,"Medium",3,1280,616
"MSI",1,"Small",3,1033,440
"HP",3,"Medium",5,1158,370
"HP",1,"Large",1,1152,827
"MSI",0,"Small",1,974,661
"HP",2,"Large",0,802,786
"MSI",2,"Large",2,644,579
"HP",3,"Small",1,890,508
"MSI",2,"Large",6,1212,348
"MSI",2,"Large",0,1061,910
"MSI",4,"Medium",4,1070,503
"HP",1,"Large",1,778,711
"MSI",6,"Large",2,842,721
"MSI",1,"Medium",0,782,812
"MSI",1,"Medium",2,1085,723
"HP",1,"Small",5,630,69
"HP",3,"Medium",2,899,554
"HP",3,"Medium",1,779,591
